Rank,Name,Position,Team,Projected PPR Points,Injury Status
207,Braelon Allen,RB,NYJ,5.17,Active
208,Theo Johnson,TE,NYG,5.15,Active
209,Calvin Ridley,WR,TEN,5.07,Active
210,Rashod Bateman,WR,BAL,5.01,Questionable
211,Sean Tucker,RB,TB,4.88,Active
212,Jaylin Noel,WR,HOU,4.85,Active
213,Skyler Bell,WR,BUF,4.83,Active
214,Elijah Sarratt,WR,BAL,4.79,Active
215,Ja'Kobi Lane,WR,BAL,4.73,Active
216,Isiah Pacheco,RB,DET,4.72,Active
217,Darnell Washington,TE,PIT,4.72,Active
218,Malachi Fields,WR,NYG,4.71,Active
219,Jalen Tolbert,WR,MIA,4.67,Active
220,Jaylin Lane,WR,WAS,4.66,Active
221,Jake Tonges,TE,SF,4.63,Questionable
222,Deion Burks,WR,IND,4.63,Active
223,Christian Kirk,WR,SF,4.62,Active
224,Colby Parkinson,TE,LAR,4.62,Active
225,Dontayvion Wicks,WR,PHI,4.52,Active
226,Tank Dell,WR,HOU,4.52,Questionable
227,KaVontae Turpin,WR,DAL,4.48,Active
228,Marvin Mims,WR,DEN,4.46,Active
229,Adonai Mitchell,WR,NYJ,4.46,Active
230,Dawson Knox,TE,BUF,4.44,Active
231,Emanuel Wilson,RB,SEA,4.42,Active
232,Chris Brazzell,WR,CAR,4.4,Active
233,Evan Engram,TE,DEN,4.4,Active
234,Ray Davis,RB,BUF,4.4,Active
235,Tank Bigsby,RB,PHI,4.29,Active
236,Elijah Arroyo,TE,SEA,4.27,Active
237,Ted Hurst,WR,TB,4.24,Active
238,Max Klare,TE,LAR,4.18,Active
239,Cole Kmet,TE,CHI,4.17,Active
240,Mason Taylor,TE,NYJ,4.12,Active
241,Ja'Tavion Sanders,TE,CAR,4.09,Active
242,Mike Washington,RB,LV,4.05,Active
243,Kalif Raymond,WR,CHI,4.0,Active
244,Zavion Thomas,WR,CHI,3.9,Active
245,Ty Johnson,RB,BUF,3.89,Active
246,Will Kacmarek,TE,MIA,3.83,Active
247,Justin Joly,TE,DEN,3.79,Active
248,Marquise Brown,WR,PHI,3.77,Active
249,Terrance Ferguson,TE,LAR,3.67,Active
250,Elic Ayomanor,WR,TEN,3.53,Active
251,LeQuint Allen,RB,JAX,3.53,Active
252,Justice Hill,RB,BAL,3.5,Active
253,Jonah Coleman,RB,DEN,3.49,Active
254,Theo Wease,WR,MIA,3.43,Active
255,Kirk Cousins,QB,LV,3.41,Active
256,Xavier Legette,WR,CAR,3.4,Active
257,John Metchie,WR,CAR,3.39,Active
258,Noah Fant,TE,NO,3.38,Active
259,Jaylen Wright,RB,MIA,3.33,Active
260,Austin Hooper,TE,ATL,3.28,Active
261,Zach Charbonnet,RB,SEA,3.25,Questionable
262,Jordan James,RB,SF,3.11,Active
263,Kyle Williams,WR,NE,3.06,Active
264,Emmett Johnson,RB,KC,3.02,Active
265,Brock Wright,TE,DET,3.0,Questionable
266,Kimani Vidal,RB,LAC,2.97,Active
267,Tutu Atwell,WR,MIA,2.96,Active
268,Alvin Kamara,RB,NO,2.94,Active
269,Caleb Douglas,WR,MIA,2.92,Questionable
270,Kevin Coleman,WR,MIA,2.88,Active
271,Xavier Hutchinson,WR,HOU,2.87,Active
272,Luke Musgrave,TE,GB,2.83,Questionable
273,Josh Cameron,WR,JAX,2.82,Active
274,Ollie Gordon,RB,MIA,2.8,Active
275,Nicholas Singleton,RB,TEN,2.78,Active
276,Jack Endries,TE,CIN,2.76,Active
277,Jahan Dotson,WR,ATL,2.75,Active
278,Daniel Bellinger,TE,TEN,2.73,Active
279,Elijah Higgins,TE,ARI,2.7,Active
280,Calvin Austin,WR,NYG,2.66,Active
281,Tez Johnson,WR,TB,2.61,Active
282,Oscar Delp,TE,NO,2.59,Active
283,Chris Brooks,RB,GB,2.58,Active
284,Jaydon Blue,RB,DAL,2.58,Active
285,Joe Royer,TE,CLE,2.58,Active
286,Jalen Royals,WR,KC,2.53,Active
287,Jahdae Walker,WR,CHI,2.52,Active
288,Devin Neal,RB,NO,2.51,Questionable
289,Charlie Kolar,TE,LAC,2.5,Active
290,Eli Raridon,TE,NE,2.46,Active
291,Savion Williams,WR,GB,2.46,Active
292,Emari Demercado,RB,KC,2.42,Active
293,Malik Davis,RB,DAL,2.42,Active
294,James Conner,RB,ARI,2.31,Questionable
295,MarShawn Lloyd,RB,GB,2.3,Active
